date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:31:36	60376/60376	---M--	200	added ('OK')	image/webp	date:Sun,%2027%20Oct%202024%2004:53:14%20GMT	https://botmaster.software/wp-content/uploads/2023/03/Sidhartha.png	C:/My%20Web%20Sites/fawa1/botmaster.software/wp-content/uploads/2023/03/Sidhartha.png	(from https://botmaster.software/india/)
05:31:37	44792/44792	---M--	200	added ('OK')	image/webp	date:Sun,%2027%20Oct%202024%2004:53:10%20GMT	https://botmaster.software/wp-content/uploads/2023/03/rohan.png	C:/My%20Web%20Sites/fawa1/botmaster.software/wp-content/uploads/2023/03/rohan.png	(from https://botmaster.software/india/)
05:31:39	81320/81320	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Dec%202024%2000:01:40%20GMT	https://themexriver.com/appilo-theme/app-showcase/wp-content/uploads/sites/4/2020/01/author-thumb-4-25.jpg	C:/My%20Web%20Sites/fawa1/themexriver.com/appilo-theme/app-showcase/wp-content/uploads/sites/4/2020/01/author-thumb-4-25.jpg	(from https://botmaster.software/india/)
05:31:39	11030/11030	---M--	200	added ('OK')	image/webp	date:Sun,%2007%20Jul%202024%2010:00:11%20GMT	https://botmaster.software/wp-content/uploads/2023/07/LORENZO-NKAMNA.png	C:/My%20Web%20Sites/fawa1/botmaster.software/wp-content/uploads/2023/07/LORENZO-NKAMNA.png	(from https://botmaster.software/india/)
05:31:40	975/975	---M--	200	added ('OK')	image/png	date:Sun,%2027%20Oct%202024%2004:53:31%20GMT	https://botmaster.software/wp-content/uploads/2023/03/Bot-Master-.png	C:/My%20Web%20Sites/fawa1/botmaster.software/wp-content/uploads/2023/03/Bot-Master-.png	(from https://botmaster.software/india/)
05:31:40	3738/3738	---M--	200	added ('OK')	image/webp	date:Sun,%2027%20Oct%202024%2004:53:28%20GMT	https://botmaster.software/wp-content/uploads/2020/05/paypal.png	C:/My%20Web%20Sites/fawa1/botmaster.software/wp-content/uploads/2020/05/paypal.png	(from https://botmaster.software/india/)
05:31:40	7414/7414	---M--	200	added ('OK')	image/webp	date:Sun,%2027%20Oct%202024%2004:53:22%20GMT	https://botmaster.software/wp-content/uploads/2023/03/fo-shape1-1-1.png	C:/My%20Web%20Sites/fawa1/botmaster.software/wp-content/uploads/2023/03/fo-shape1-1-1.png	(from https://botmaster.software/india/)
05:31:40	16238/16238	---M--	200	added ('OK')	image/webp	date:Sun,%2027%20Oct%202024%2004:53:16%20GMT	https://botmaster.software/wp-content/uploads/2023/03/fo-shape2-1-1.png	C:/My%20Web%20Sites/fawa1/botmaster.software/wp-content/uploads/2023/03/fo-shape2-1-1.png	(from https://botmaster.software/india/)
05:31:41	18738/18738	---M--	200	added ('OK')	image/webp	date:Sun,%2027%20Oct%202024%2004:53:26%20GMT	https://botmaster.software/wp-content/uploads/2023/03/eimap-1-1.png	C:/My%20Web%20Sites/fawa1/botmaster.software/wp-content/uploads/2023/03/eimap-1-1.png	(from https://botmaster.software/india/)
05:31:41	272/272	---M--	200	added ('OK')	image/webp	date:Sun,%2027%20Oct%202024%2004:53:24%20GMT	https://botmaster.software/wp-content/plugins/bravepopup-pro/assets/images/preloader.png	C:/My%20Web%20Sites/fawa1/botmaster.software/wp-content/plugins/bravepopup-pro/assets/images/preloader.png	(from https://botmaster.software/india/)
05:31:41	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22675318bd-4d7%22	https://botmaster.software/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/fawa1/botmaster.software/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://botmaster.software/india/)
05:31:41	8892/8892	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2003%20Dec%202024%2015:56:38%20GMT	https://botmaster.software/wp-content/plugins/tenweb-speed-optimizer/includes/external/js/vanilla-lazyload/lazyload.min.js	C:/My%20Web%20Sites/fawa1/botmaster.software/wp-content/plugins/tenweb-speed-optimizer/includes/external/js/vanilla-lazyload/lazyload.min.js	(from https://botmaster.software/india/)
05:31:44	3243/3243	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2003%20Dec%202024%2015:56:38%20GMT	https://botmaster.software/wp-content/plugins/tenweb-speed-optimizer/includes/external/js/vanilla-lazyload/two_bg_vanilla.js	C:/My%20Web%20Sites/fawa1/botmaster.software/wp-content/plugins/tenweb-speed-optimizer/includes/external/js/vanilla-lazyload/two_bg_vanilla.js	(from https://botmaster.software/india/)
05:31:49	122776/122776	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Dec%202024%2000:01:48%20GMT	https://botmaster.software/wp-content/themes/appilo/img/shape/s_01.png	C:/My%20Web%20Sites/fawa1/botmaster.software/wp-content/themes/appilo/img/shape/s_01.png	(from https://botmaster.software/wp-content/cache/tw_optimize/css/two_2630_aggregated_5031697833a1b266bf9fe4d7a52cf38e_delay.min.css?date=1734206500)
05:31:51	201/201	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Dec%202024%2015:55:50%20GMT	https://botmaster.software/wp-content/plugins/elementskit-lite/widgets/init/assets/img/arrow.png	C:/My%20Web%20Sites/fawa1/botmaster.software/wp-content/plugins/elementskit-lite/widgets/init/assets/img/arrow.png	(from https://botmaster.software/wp-content/cache/tw_optimize/css/two_2630_aggregated_5031697833a1b266bf9fe4d7a52cf38e_delay.min.css?date=1734206500)
